company_id,company_name,ctry_code,worldrank,nace2,isic4,year,rd,ns,capex,op,emp,patCN,patEP,patJP,patKR,patUS,TMnEU,TMnUS
1803,ALPHABET,US,1,6209,62-63,2018,18270.732835,119492.515922,21955.447271,27416.579425,98771,743,790,210,254,710,49,80
1134,SAMSUNG ELECTRONICS,KR,2,2611,26,2018,14831.332490,190822.526813,23935.396224,46096.064150,309630,4216,2323,662,6650,6717,194,281
1916,MICROSOFT,US,3,5829,58-60,2018,14738.857746,109906.494617,12161.565013,37496.048957,144000,569,958,25,35,623,26,89
1803,ALPHABET,US,1,6209,62-63,2017,14022.700489,96816.547215,11514.403857,25224.441662,80110,783,761,298,294,973,54,121
416,VOLKSWAGEN,DE,4,2910,29-30,2016,13671.999797,217267.006636,13151.999563,8344.000205,626715,33,53,1,10,34,104,55
416,VOLKSWAGEN,DE,4,2910,29-30,2018,13639.999554,235848.993063,13729.000464,13981.999829,664500,1099,913,183,263,815,136,48
416,VOLKSWAGEN,DE,4,2910,29-30,2015,13612.000272,213292.002678,13213.000260,-1228.000037,610076,,,,,,,
1134,SAMSUNG ELECTRONICS,KR,2,2611,26,2017,13503.720053,187537.893653,34267.518669,41992.954910,320671,3915,2400,601,6341,6994,253,295
416,VOLKSWAGEN,DE,4,2910,29-30,2017,13135.000132,229550.004005,13051.999733,13442.000374,642300,955,779,167,273,761,152,69
1916,MICROSOFT,US,3,5829,58-60,2017,12861.128896,96384.227276,10158.947669,30577.277765,131000,1022,982,40,46,1091,21,77
410,HUAWEI INVESTEMENT & HOLDING CO,CN,5,2610,26,2018,12739.640661,91911.636293,3890.303196,9339.863434,188000,1592,2272,419,409,1251,266,56
1134,SAMSUNG ELECTRONICS,KR,2,2611,26,2015,12518.277392,157070.115209,21434.515715,20676.253363,325677,,,,,,,
1940,APPLE,US,6,2620,26,2018,12433.181517,231960.579753,11627.068743,61919.618398,132000,591,326,132,212,659,43,83
1134,SAMSUNG ELECTRONICS,KR,2,2611,26,2016,12112.392113,158019.840717,19719.054922,22889.388725,308745,358,221,121,6203,1106,211,237
1803,ALPHABET,US,1,6209,62-63,2016,11842.789128,78840.136528,8918.772452,20712.653175,72053,326,287,111,115,775,54,138
1937,INTEL,US,7,2611,26,2018,11827.941053,61875.950545,13258.508407,20300.425589,107400,916,537,44,70,1069,7,14
1937,INTEL,US,7,2611,26,2017,11439.295486,54813.075811,10286.457837,16064.621508,102700,790,514,35,93,1234,9,16
1916,MICROSOFT,US,3,5829,58-60,2016,11386.020109,84341.444075,7099.559531,21760.687232,124000,66,47,1,1,875,18,75
410,HUAWEI INVESTEMENT & HOLDING CO,CN,5,2610,26,2017,11280.171573,76926.842332,2213.417785,7185.705937,180000,3736,2371,619,430,902,149,93
1937,INTEL,US,7,2611,26,2016,11126.631871,51866.348833,8406.109177,12967.678718,106000,209,164,17,50,1115,9,27
1937,INTEL,US,7,2611,26,2015,10592.134669,48344.954848,6398.249883,12537.985109,107300,,,,,,,
1803,ALPHABET,US,1,6209,62-63,2015,10510.037653,65492.540598,8689.952083,16908.289865,61814,,,,,,,
1916,MICROSOFT,US,3,5829,58-60,2015,10469.863191,79610.437155,7286.459208,22913.524881,114000,,,,,,,
1940,APPLE,US,6,2620,26,2017,10114.405304,200204.268098,10874.230415,53575.519472,123000,423,253,89,182,478,55,93
92,ROCHE,CH,8,2120,21,2018,9797.938168,50418.540835,3585.866187,13099.099509,94442,322,364,265,121,285,36,55
410,HUAWEI INVESTEMENT & HOLDING CO,CN,5,2610,26,2016,9674.781002,66470.585763,2836.865140,6055.420265,180000,2683,1309,364,266,552,218,159
1530,JOHNSON & JOHNSON,US,9,2120,21,2018,9410.475381,71249.745786,3205.238609,16675.101593,135100,659,686,541,177,612,109,263
1530,JOHNSON & JOHNSON,US,9,2120,21,2017,9217.462502,66768.527031,2863.753820,16578.158364,134000,594,828,580,210,840,110,311
92,ROCHE,CH,8,2120,21,2017,9216.997772,47272.592783,3112.244653,10968.688875,93734,408,469,406,123,227,28,83
494,DAIMLER,DE,10,2910,29-30,2018,9041.000158,167362.004519,7534.000091,10873.000138,298683,89,46,9,3,61,34,152
1494,FACEBOOK,US,11,6209,62-63,2018,8972.047828,48766.788095,12152.832001,21758.068353,35587,109,115,14,24,213,20,27
1532,MERCK US,US,12,2120,21,2017,8875.977248,35041.030496,1648.907433,8158.947341,69000,247,335,248,182,328,48,120
92,ROCHE,CH,8,2120,21,2016,8793.931454,44857.475907,3675.446613,12478.247285,94052,2,96,4,1,12,9,67
1940,APPLE,US,6,2620,26,2016,8772.920817,188330.903649,11121.391319,52422.679961,116000,18,26,6,21,203,29,64
494,DAIMLER,DE,10,2910,29-30,2017,8662.999608,164153.993130,6744.000129,14276.999980,289321,67,35,20,1,54,43,48
101,NOVARTIS,CH,14,2120,21,2015,8558.947593,44006.090611,2067.247871,7840.170525,118700,,,,,,,
1532,MERCK US,US,12,2120,21,2018,8455.890231,36937.974393,2283.841604,9743.226692,69000,301,324,209,204,282,38,65
